주성분코드,제품코드
130830ASY,chloral hydrate   9.5g(0.1g/mL)
130832ASY,chloral hydrate   1g(0.1g/mL)
130833ASY,chloral hydrate   0.5g(0.1g/mL)
149203ATB,doxepin hydrochloride (as doxepin   3mg)
149204ATB,doxepin hydrochloride (as doxepin   6mg)
160601ATB,flunitrazepam   1mg
161801ATB,flurazepam hydrochloride   15mg
211701ATB,phenobarbital   30mg
243501ATB,triazolam   0.125mg
243502ATB,triazolam   0.25mg
250501ATB,zolpidem tartrate   10mg
250502ATB,zolpidem tartrate   5mg
250503ATR,zolpidem tartrate   6.25mg
250504ATR,zolpidem tartrate   12.5mg
123130ASY,carbamazepine   2g(20mg/mL)
123102ATB,carbamazepine   0.2g
123102ATR,carbamazepine   0.2g
123104ATR,carbamazepine   0.3g
136401ATB,clonazepam   0.5mg
146801ACH,diphenylhydantoin sodium   0.1g
146801ATB,diphenylhydantoin sodium   0.1g
147701ATR,divalproex sodium (as divalproex   0.25g)
147702ATR,divalproex sodium (as divalproex   0.5g)
147801ACH,divalproex sodium particle (as divalproex   0.125g)
155901ACS,ethosuximide   0.25g
164201ACH,gabapentin   0.1g
164202ACH,gabapentin   0.3g
164203ACH,gabapentin   0.4g
164204ATB,gabapentin   0.6g
164205ATB,gabapentin   0.8g
181001ATB,lamotrigine   0.1g
181002ATB,lamotrigine   25mg
181003ATB,lamotrigine   50mg
181004ATB,lamotrigine   5mg
181005ATB,lamotrigine   2mg
206330ASS,oxcarbazepine   6g(60mg/mL)
206301ATB,oxcarbazepine   0.3g
206302ATB,oxcarbazepine   0.6g
206303ATB,oxcarbazepine   0.15g
217801ATB,primidone   0.25g
229734ASY,sodium valproate   9g(60mg/mL)
229701ATR,sodium valproate   0.15g
229703ATB,sodium valproate   0.2g
229705ATB,sodium valproate   0.3g
229705ATR,sodium valproate   0.3g
229706ATR,sodium valproate   0.5g
229707ATR,sodium valproate   0.6g
241801ACR,topiramate   0.1g
241801ATB,topiramate   0.1g
241802ACR,topiramate   0.2g
241803ACH,topiramate   25mg
241803ACR,topiramate   25mg
241803ATB,topiramate   25mg
241804ACH,topiramate   50mg
241804ACR,topiramate   50mg
241804ATB,topiramate   50mg
246901ATE,valproate magnesium   0.5g
246902ATE,valproate magnesium   0.2g
246903ATE,valproate magnesium   0.3g
247001ACS,valproic acid   0.25g
247002ACS,valproic acid   0.5g
247701ATB,vigabatrin   0.5g
250601ATB,zonisamide   0.1g
483701ATB,tetrabenazine   25mg
488530ALQ,levetiracetam   15g(0.1g/mL)
488531ALQ,levetiracetam   30g(0.1g/mL)
488501ATB,levetiracetam   0.5g
488501ATR,levetiracetam   0.5g
488502ATB,levetiracetam   0.25g
488503ATB,levetiracetam   1g
488505ATB,levetiracetam   0.75g
488505ATR,levetiracetam   0.75g
509101ACH,stiripentol   0.5g
509401ATB,rufinamide   0.1g
509402ATB,rufinamide   0.2g
509403ATB,rufinamide   0.4g
611702ATB,lacosamide   50mg
611703ATB,lacosamide   0.1g
611704ATB,lacosamide   0.15g
611705ATB,lacosamide   0.2g
642401ATB,perampanel (as perampanel anhydrate   2mg)
642402ATB,perampanel (as perampanel anhydrate   4mg)
642403ATB,perampanel (as perampanel anhydrate   6mg)
642404ATB,perampanel (as perampanel anhydrate   8mg)
642405ATB,perampanel (as perampanel anhydrate   10mg)
642406ATB,perampanel (as perampanel anhydrate   12mg)
100901ACH,aceclofenac   0.1g
100901ACS,aceclofenac   0.1g
100901ATB,aceclofenac   0.1g
